SampleID	rarefy_to	Barcode	Barcode_Quality	HiFi_Reads	HiFi_Mean_Read_Length	HiFi_Mean_Read_Quality	HiFi_Yield	Hive	Group	Bee	Timepoint	DPC	Replicate	SampleType	plate_extraction	plate_libraryprep	Experiment_run	Run_name	Ct	dilution	volume_to_be_added
2.MD.1.A	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_21	99.45958816	7770	1510	Q30	11737072	2	MD	1	A	4	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	11.148	10	1
2.MD.1.B	60000	Kinnex16S_Fwd_03--Kinnex16S_Rev_36	99.53081481	19747	1508	Q30	29788554	2	MD	1	B	6	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	14.504	1	1
2.MD.2.B	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_42	98.09259259	54	1536	Q30	82997	2	MD	2	B	6	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
2.MD.3.B	60000	Kinnex16S_Fwd_05--Kinnex16S_Rev_21	99.52263627	133856	1508	Q30	201912791	2	MD	3	B	6	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	17.765	1	10
2.MD.4.B	60000	Kinnex16S_Fwd_09--Kinnex16S_Rev_33	99.51866962	101234	1509	Q30	152850581	2	MD	4	B	6	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	18.431	1	10
3.MD.1.A	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_29	99.4527027	6364	1494	Q30	9508962	3	MD	1	A	4	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
3.MD.1.B	60000	Kinnex16S_Fwd_04--Kinnex16S_Rev_30	99.40926937	10443	1492	Q30	15588789	3	MD	1	B	6	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
3.MD.1.C	60000	Kinnex16S_Fwd_05--Kinnex16S_Rev_37	99.51725648	25121	1496	Q30	37592856	3	MD	1	C	9	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
3.MD.1.D	60000	Kinnex16S_Fwd_08--Kinnex16S_Rev_30	99.45651653	25044	1493	Q30	37414654	3	MD	1	D	11	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	39.62	1	10
3.MD.2.A	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_24	99.43659361	18342	1496	Q30	27452240	3	MD	2	A	4	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
3.MD.2.B	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_44	92.03636364	55	1514	Q28	83290	3	MD	2	B	6	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
3.MD.2.C	60000	Kinnex16S_Fwd_07--Kinnex16S_Rev_24	99.39737544	4877	1495	Q30	7293232	3	MD	2	C	9	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
3.MD.2.D	60000	Kinnex16S_Fwd_07--Kinnex16S_Rev_41	96.85294118	34	1504	Q28	51146	3	MD	2	D	11	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
3.MD.3.A	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_25	99.49827395	31575	1496	Q30	47242155	3	MD	3	A	4	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
3.MD.3.B	60000	Kinnex16S_Fwd_05--Kinnex16S_Rev_23	99.51111837	101094	1499	Q30	151630651	3	MD	3	B	6	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
3.MD.3.C	60000	Kinnex16S_Fwd_06--Kinnex16S_Rev_31	99.46837002	12994	1488	Q30	19344524	3	MD	3	C	9	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	39.277	1	10
3.MD.3.D	60000	Kinnex16S_Fwd_09--Kinnex16S_Rev_26	99.42676089	17122	1487	Q30	25468988	3	MD	3	D	11	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	39.983	1	10
3.MD.4.A	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_30	99.44360115	11463	1494	Q30	17128204	3	MD	4	A	4	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
3.MD.4.C	60000	Kinnex16S_Fwd_05--Kinnex16S_Rev_38	99.51325981	23756	1495	Q30	35516382	3	MD	4	C	9	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
3.MD.4.D	60000	Kinnex16S_Fwd_08--Kinnex16S_Rev_31	99.51513614	45322	1494	Q30	67718644	3	MD	4	D	11	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
4.MD.1.A	60000	Kinnex16S_Fwd_01--Kinnex16S_Rev_41	96.17307692	52	1502	Q31	78132	4	MD	1	A	4	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
4.MD.1.B	60000	Kinnex16S_Fwd_04--Kinnex16S_Rev_33	99.52193472	29565	1494	Q30	44179968	4	MD	1	B	6	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	39.994	1	10
4.MD.1.C	60000	Kinnex16S_Fwd_07--Kinnex16S_Rev_28	99.49859609	24218	1494	Q30	36190799	4	MD	1	C	9	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
4.MD.1.D	60000	Kinnex16S_Fwd_08--Kinnex16S_Rev_38	99.49579333	10103	1493	Q30	15092226	4	MD	1	D	11	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
4.MD.2.A	60000	Kinnex16S_Fwd_03--Kinnex16S_Rev_21	99.50561522	24487	1498	Q30	36689529	4	MD	2	A	4	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
4.MD.2.B	60000	Kinnex16S_Fwd_03--Kinnex16S_Rev_39	97	84	1508	Q29	126712	4	MD	2	B	6	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
4.MD.2.C	60000	Kinnex16S_Fwd_06--Kinnex16S_Rev_35	99.4812196	19941	1494	Q30	29801940	4	MD	2	C	9	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
4.MD.2.D	60000	Kinnex16S_Fwd_10--Kinnex16S_Rev_22	99.41140521	22744	1494	Q30	33999865	4	MD	2	D	11	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	39.092	1	10
4.MD.3.A	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_33	99.47656003	6314	1488	Q30	9400901	4	MD	3	A	4	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
4.MD.3.B	60000	Kinnex16S_Fwd_05--Kinnex16S_Rev_26	99.46575116	12088	1496	Q30	18087430	4	MD	3	B	6	15/07/2024	MD	1	1	1	m84177_250423_121042_s4	37.701	1	10
4.MD.3.C	60000	Kinnex16S_Fwd_05--Kinnex16S_Rev_42	99.50076144	15103	1489	Q30	22496515	4	MD	3	C	9	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
4.MD.3.D	60000	Kinnex16S_Fwd_08--Kinnex16S_Rev_33	99.53188839	28098	1495	Q30	42015751	4	MD	3	D	11	15/07/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
4.MD.4.D	60000	Kinnex16S_Fwd_08--Kinnex16S_Rev_39	99.46326837	19343	1492	Q30	28877447	4	MD	4	D	11	15/07/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
EB10	60000	Kinnex16S_Fwd_09--Kinnex16S_Rev_42	95.09230769	130	1518	Q28	197414	NA	NA	NA	NA	NA	NA	blank	3	3	1	m84177_250423_121042_s4	#N/A	#N/A	#N/A
EB11	60000	Kinnex16S_Fwd_09--Kinnex16S_Rev_43	96.41401274	157	1513	Q29	237624	NA	NA	NA	NA	NA	NA	blank	3	3	1	m84177_250423_121042_s4	#N/A	#N/A	#N/A
EB12	60000	Kinnex16S_Fwd_09--Kinnex16S_Rev_44	94.74590164	244	1517	Q28	370372	NA	NA	NA	NA	NA	NA	blank	3	3	1	m84177_250423_121042_s4	#N/A	#N/A	#N/A
EB2	60000	Kinnex16S_Fwd_11--Kinnex16S_Rev_22	95.20634921	189	1516	Q29	286595	NA	NA	NA	NA	NA	NA	blank	1	1	1	m84177_250423_121042_s4	NA	1	10
EB3	60000	Kinnex16S_Fwd_11--Kinnex16S_Rev_23	96.77380952	252	1528	Q28	385228	NA	NA	NA	NA	NA	NA	blank	1	1	1	m84177_250423_121042_s4	38.326	1	10
EB4	60000	Kinnex16S_Fwd_11--Kinnex16S_Rev_24	92.74331551	187	1525	Q28	285244	NA	NA	NA	NA	NA	NA	blank	1	1	1	m84177_250423_121042_s4	NA	1	10
EB6	60000	Kinnex16S_Fwd_10--Kinnex16S_Rev_30	96.36708861	1027	1519	Q29	1560146	NA	NA	NA	NA	NA	NA	blank	2	2	1	m84177_250423_121042_s4	38.062	1	10
EB7	60000	Kinnex16S_Fwd_10--Kinnex16S_Rev_31	97.21726619	695	1521	Q29	1057252	NA	NA	NA	NA	NA	NA	blank	2	2	1	m84177_250423_121042_s4	NA	1	10
EB8	60000	Kinnex16S_Fwd_10--Kinnex16S_Rev_32	97.70363798	1127	1516	Q29	1709552	NA	NA	NA	NA	NA	NA	blank	2	2	1	m84177_250423_121042_s4	NA	1	10
1.MD.1.A	60000	Kinnex16S_Fwd_01--Kinnex16S_Rev_37	93.80327869	61	1503	Q28	91720	1	MD	1	A	4	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
1.MD.1.B	60000	Kinnex16S_Fwd_03--Kinnex16S_Rev_32	99.45279812	7648	1489	Q30	11390835	1	MD	1	B	6	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
1.MD.1.C	60000	Kinnex16S_Fwd_04--Kinnex16S_Rev_40	93.52830189	53	1538	Q27	81538	1	MD	1	C	9	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	38.409	1	10
