SampleID	rarefy_to
2.MD.1.A	60000
2.MD.1.B	60000
2.MD.2.B	60000
2.MD.3.B	60000
2.MD.4.B	60000
3.MD.1.A	60000
3.MD.1.B	60000
3.MD.1.C	60000
3.MD.1.D	60000
3.MD.2.A	60000
3.MD.2.B	60000
3.MD.2.C	60000
3.MD.2.D	60000
3.MD.3.A	60000
3.MD.3.B	60000
3.MD.3.C	60000
3.MD.3.D	60000
3.MD.4.A	60000
3.MD.4.C	60000
3.MD.4.D	60000
4.MD.1.A	60000
4.MD.1.B	60000
4.MD.1.C	60000
4.MD.1.D	60000
4.MD.2.A	60000
4.MD.2.B	60000
4.MD.2.C	60000
4.MD.2.D	60000
4.MD.3.A	60000
4.MD.3.B	60000
4.MD.3.C	60000
4.MD.3.D	60000
4.MD.4.D	60000
EB10	60000
EB11	60000
EB12	60000
EB2	60000
EB3	60000
EB4	60000
EB6	60000
EB7	60000
EB8	60000
1.MD.1.A	60000
1.MD.1.B	60000
1.MD.1.C	60000
1.MD.2.A	60000
1.MD.2.C	60000
1.MD.3.A	60000
1.MD.3.B	60000
1.MD.3.C	60000
1.MD.3.D	60000
1.MD.4.A	60000
1.MD.4.B	60000
1.MD.4.C	60000
1.MD.4.D	60000
1.MD.5.A	60000
1.MD.5.B	60000
1.MD.5.C	60000
1.MD.5.D	60000
1.MD.6.B	60000
1.MD.6.C	60000
1.MD.6.D	60000
1.MD.7.D	60000
5.MD.1.A	60000
5.MD.1.B	60000
5.MD.1.C	60000
5.MD.2.A	60000
5.MD.2.B	60000
5.MD.2.C	60000
5.MD.2.D	60000
5.MD.3.A	60000
5.MD.3.B	60000
5.MD.3.D	60000
5.MD.4.A	60000
5.MD.4.B	60000
5.MD.4.C	60000
5.MD.4.D	60000
5.MD.5.A	60000
5.MD.5.D	60000
5.MD.6.B	60000
5.MD.6.C	60000
